"13931: Klimagasser AR5, etter År, statistikkvariabel og kilde (aktivitet)"
"År";"Alle kilder";"Olje- og gass";"Veitrafikk";"Luftfart etc.";"Jordbruk"
"1990";51348;8254;7426;5298;5050
"1991";48987;8127;7307;5109;4984
"1992";47450;8728;7338;5461;4956
"1993";49379;9257;7511;5664;4937
"1994";51331;10053;7408;5858;4944
"1995";51741;10237;7527;6554;4988
"1996";54642;11139;7902;6960;5021
"1997";54619;11641;7887;7246;4962
"1998";54694;11308;8116;7463;4954
"1999";55698;11829;8543;7526;4947
"2000";55092;13172;8370;6499;4798
"2001";56344;14140;8871;6588;4739
"2002";55034;13809;8947;6546;4725
"2003";55655;13942;9089;6471;4809
"2004";56028;14169;9383;6584;4774
"2005";54897;14108;9519;6428;4791
"2006";54870;13706;9797;6786;4697
"2007";56548;15165;10029;7008;4700
"2008";55026;14810;9894;6789;4675
"2009";52541;13683;9741;6737;4641
"2010";54855;13786;9990;7198;4553
"2011";53848;13472;9923;7289;4554
"2012";53258;13575;9958;7493;4563
"2013";53481;13543;10007;7605;4609
"2014";53878;14231;10221;7653;4708
"2015";54417;14770;10255;7470;4772
"2016";53533;14472;9990;7398;4823
"2017";52838;14206;9124;7506;4791
"2018";52991;14055;9367;7751;4797
"2019";51223;13888;8734;7692;4746
"2020";49499;13162;8350;7384;4756
"2021";49325;12122;8712;7435;4815
"2022";48973;12085;8703;7671;4706
"2023";46654;11561;8016;7637;4519
