"07459: Befolkning i oslo etter, År og statistikkvariabel"

"År";"Personer"
"1986";449395
"1987";451345
"1988";453730
"1989";456124
"1990";458364
"1991";461644
"1992";467441
"1993";473454
"1994";477781
"1995";483401
"1996";488659
"1997";494793
"1998";499693
"1999";502867
"2000";507467
"2001";508726
"2002";512589
"2003";517401
"2004";521886
"2005";529846
"2006";538411
"2007";548617
"2008";560484
"2009";575475
"2010";586860
"2011";599230
"2012";613285
"2013";623966
"2014";634463
"2015";647676
"2016";658390
"2017";666759
"2018";673469
"2019";681071
"2020";693494
"2021";697010
"2022";699827
"2023";709037
"2024";717710
